Course Name,University,University Type,Degree Type,Duration,Language,Course Code,Course Area,Website
Maritime Science and Technology,University of Genoa,Public,Bachelors,3,EN,L-28 R,Navigation Sciences and Technologies,https://corsi.unige.it/corsi/11929
"Molecular Biology, Medicinal Chemistry and Computer Science for Pharmaceutical Applications","University of Rome ""La Sapienza""",Public,Bachelors,3,EN,L-29 R,Pharmaceutical Sciences and Technologies,https://corsidilaurea.uniroma1.it/it/course/33457
Nursing,University of Palermo,Public,Bachelors,3,EN,L/SNT1,"Health professions, nursing and midwifery",https://www.unipa.it/dipartimenti/promise/cds/nursing2233
Nursing,"University of Campania ""Luigi Vanvitelli""",Public,Bachelors,3,EN,L/SNT1,"Health professions, nursing and midwifery",http://www.scienzemedichetraslazionali.unicampania.it
Nursing,"University of Rome ""La Sapienza""",Public,Bachelors,3,EN,L/SNT1,"Health professions, nursing and midwifery",https://corsidilaurea.uniroma1.it/it/course/28614
"Philosophy, International and Economic Studies",Ca' Foscari University of Venice,Public,Bachelors,3,EN,L-5 R,Philosophy,http://www.unive.it/cdl/ltr6
PHYSICAL SCIENCES FOR INNOVATIVE TECHNOLOGIES,University of Milan-Bicocca,Public,Bachelors,3,EN,L-30 R,Physical Sciences and Technologies,https://elearning.unimib.it/E3004Q
Psychological Science,University of Padua,Public,Bachelors,3,EN,L-24 R,Psychological sciences and techniques,https://www.unipd.it/offerta-didattica/corso-di-laurea/psicologia?tipo=L&scuola=PS&ordinamento=2025&key=PS2959&cg=psicologia
Social sciences for global challenges,University of Pavia,Public,Bachelors,3,EN,L-16 R,Administrative and organizational sciences,https://socialsciences.cdl.unipv.it/en
"Comparative, European and International Legal Studies",University of Trento,Public,Bachelors,3,EN,L-14 R,Legal Services Sciences,https://corsi.unitn.it/en/comparative-european-and-international-legal-studies
Sustainable Blue Economy,"University of Naples ""Parthenope""",Public,Bachelors,3,EN,L-21 R,"Territorial, urban, landscape and environmental planning sciences",https://international.uniparthenope.it/all-courses/sustainable-blue-economy-sea-blue/
Sustainable Building Engineering,"University of Rome ""La Sapienza""",Public,Bachelors,3,EN,L-23 R,Building sciences and techniques,https://corsidilaurea.uniroma1.it/it/course/33482
Sustainable Business for Societal Challenges,University of Florence,Public,Bachelors,3,EN,L-18 R,Economics and Business Management Sciences,https://www.susbus.unifi.it/
Techniques and methods in psychological science,University of Padua,Public,Bachelors,3,EN,L-24 R,Psychological sciences and techniques,https://www.unipd.it/offerta-didattica/corso-di-laurea/psicologia?tipo=L&scuola=PS&ordinamento=2025&key=PS2964&cg=psicologia
Transnational and European Legal Studies,University of Messina,Public,Bachelors,3,EN,L-14 R,Legal Services Sciences,https://unime.coursecatalogue.cineca.it/corsi/2024/10619?annoOrdinamento=2024
Accounting and Financial Management,Bocconi University of Milan,Public,Masters,2,EN,LM-77 R,Business and Economics,https://www.unibocconi.it/en/programs/master-science/accounting-and-financial-management
"Accounting, Governance and Sustainability",University of Bergamo,Public,Masters,2,EN,LM-77 R,Business and Economics,https://ls-ags.unibg.it/en
Advanced Automotive Engineering,University of Modena and Reggio Emilia,Public,Masters,2,EN,LM-33,Mechanical Engineering,https://www.ingmo.unimore.it/it/didattica/corsi-di-laurea-magistrale-informazioni-generali/advanced-automotive-engineering-english
Advanced Biotechnology,University of Cagliari,Public,Masters,2,EN,LM-9 R,"Medical, veterinary and pharmaceutical biotechnology",https://web.unica.it/unica/it/crs_60_80.page
Advanced Cosmetic Sciences,Alma Mater Studiorum - University of Bologna,Public,Masters,2,EN,LM-54 R,Chemical Sciences,http://corsi.unibo.it/2Cycle/AdvancedCosmeticSciences
Advanced Materials Science and Technology,University of Genoa,Public,Masters,2,EN,LM Sc. Mat.,Materials Sciences,https://corsi.unige.it/corsi/11967
Advanced Methods in Particle Physics,Alma Mater Studiorum - University of Bologna,Public,Masters,2,EN,LM-17 R,Physics,https://corsi.unibo.it/2cycle/ParticlePhysics
ADVANCED MOLECULAR SCIENCES,University of Florence,Public,Masters,2,EN,LM-54 R,Chemical Sciences,http://www.master-ams.unifi.it
Advanced Molecular Sciences for Health Products,University of Parma,Public,Masters,2,EN,LM-54 R,Chemical Sciences,https://corsi.unipr.it/en/cdlm-amshp
Advanced spectroscopy in chemistry,Alma Mater Studiorum - University of Bologna,Public,Masters,2,EN,LM-71 R,Industrial Chemistry Sciences and Technologies,https://corsi.unibo.it/2cycle/AdvancedSpectroscopyChemistry
Aeronautical Engineering,Polytechnic University of Milan,Public,Masters,2,EN,LM-20 R,Aerospace and Astronautical Engineering,https://ccs-aerospaziale.polimi.it/corso-di-laurea-magistrale-in-ingegneria-aeronautica/
Aerospace Engineering,University of Padua,Public,Masters,2,EN,LM-20 R,Aerospace and Astronautical Engineering,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/ingegneria?ordinamento=2025&key=IN2921&tipo=LM&scuola=IN
Aerospace Engineering,Alma Mater Studiorum - University of Bologna,Public,Masters,2,EN,LM-20 R,Aerospace and Astronautical Engineering,http://corsi.unibo.it/2cycle/AerospaceEngineering
Agri-food sustainability,University of Pavia,Public,Masters,2,EN,LM-69 R,Agricultural sciences and technologies,https://agrifood.cdl.unipv.it/it
AGRICULTURAL AND ENVIRONMENTAL BIOTECHNOLOGY,University of Perugia,Public,Masters,2,EN,LM-7 R,Agricultural biotechnology,http://www.unipg.it/perm/offerta-formativa/2025/corso/7628
Agricultural Engineering,Polytechnic University of Milan,Public,Masters,2,EN,LM-26 R,Safety Engineering,https://www.ccsage.polimi.it/
Agricultural science and technology,University of Catania,Public,Masters,2,EN,LM-69 R,Agricultural sciences and technologies,https://www.di3a.unict.it/corsi/lm-69-eng
Agrifood Innovation Management,University of Trento,Public,Masters,2,EN,LM-69 R,Agricultural sciences and technologies,https://corsi.unitn.it/en/agrifood-innovation-management
AgriTech Engineering,Polytechnic University of Turin,Public,Masters,2,EN,LM-26 R,Safety Engineering,https://www.polito.it/corsi/32-457
Analytics and Data Science for Economics and Management,University of Brescia,Public,Masters,2,EN,LM-Data,Data science,https://permalink.unibs.it/suacds/2025/54477R/infogen
Applied Child and Adolescent Psychology,University of Padua,Public,Masters,2,EN,LM-51 R,Psychology,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/psicologia?tipo=LM&scuola=PS&ordinamento=2025&key=PS3049&cg=psicologia
Applied Dynamic and Clinical Psychology,"University of Rome ""La Sapienza""",Public,Masters,2,EN,LM-51 R,Psychology,https://corsidilaurea.uniroma1.it/it/course/33573
Applied Economics,University of Padua,Public,Masters,2,EN,LM-56 R,Economic Sciences,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/economia-e-scienze-politiche?tipo=LM&scuola=EP&ordinamento=2025&key=EP2895&cg=economia-finanza-gestione-azie
Applied Economics and Markets,Alma Mater Studiorum - University of Bologna,Public,Masters,2,EN,LM-56 R,Economic Sciences,http://corsi.unibo.it/Magistrale/EconomiaPoliticaEconomica
Applied experimental psychological sciences,University of Milan-Bicocca,Public,Masters,2,EN,LM-51 R,Psychology,http://didattica.unimib.it/F5109P
Applied Mathematics,University of Siena,Public,Masters,2,EN,LM-40 R,Mathematics,https://applied-mathematics.unisi.it/it
Archaeological Materials Science,"University of Rome ""La Sapienza""",Public,Masters,2,EN,LM-11 R,Sciences for the conservation of cultural heritage,https://corsidilaurea.uniroma1.it/it/course/33600
Architectural composition,University of Genoa,Public,Masters,2,EN,LM-4 R,Architecture and civil engineering-architecture,https://corsi.unige.it/en/corsi/11930
Architectural Design and History,Polytechnic University of Milan,Public,Masters,2,EN,LM-4 R,Architecture and civil engineering-architecture,http://www.adh.mantova.polimi.it
Architectural Engineering,Polytechnic University of Milan,Public,Masters,2,EN,LM-24,Building Systems Engineering,https://www.auic.polimi.it/it
Architecture,IUAV University of Venice,Public,Masters,2,EN,LM-4 R,Architecture and civil engineering-architecture,https://www.iuav.it/it/didattica/lauree-magistrali/ma-architecture
Architecture and creative practices for the city and landscape,Alma Mater Studiorum - University of Bologna,Public,Masters,2,EN,LM-4 R,Architecture and civil engineering-architecture,https://corsi.unibo.it/2cycle/ArchitectureCreativePractices
ARCHITECTURE AND HERITAGE,University of Naples Federico II,Public,Masters,2,EN,LM-4 R,Architecture and civil engineering-architecture,https://www.diarc.archer.unina.it/
Architecture - Regeneration of Built Environment,"University of Campania ""Luigi Vanvitelli""",Public,Masters,2,EN,LM-4 R,Architecture and civil engineering-architecture,https://www.architettura.unicampania.it/didattica/corsi-di-studio/magistrale-in-architettura-rigenerazione-dell-ambiente-costruito-in-lingua-inglese
Archival science and AI,University of TUSCIA,Public,Masters,2,EN,LM-5 R,Archival and library science,
AREA & GLOBAL STUDIES FOR INTERNATIONAL COOPERATION,University of Turin,Public,Masters,2,EN,LM-81 R,Sciences for Development Cooperation,http://www.agic.unito.it/
"Art History in Rome, from Late Antiquity to the Present","University of Rome ""Tor Vergata""",Public,Masters,2,EN,LM-89 R,History of art,http://arthistoryrome.uniroma2.it/
Artificial Intelligence,"University of Rome ""La Sapienza""",Public,Masters,2,EN,LM-32,Computer Engineering,https://corsidilaurea.uniroma1.it/it/course/33513
Artificial intelligence,University of Verona,Public,Masters,2,EN,LM-18,Informatics,https://www.corsi.univr.it/?ent=cs&id=1355
Artificial Intelligence,Alma Mater Studiorum - University of Bologna,Public,Masters,2,EN,LM-18,Informatics,https://corsi.unibo.it/2cycle/artificial-intelligence
Artificial Intelligence & Cybersecurity,University of UDINE,Public,Masters,2,EN,LM-18,Informatics,https://www.uniud.it/it/didattica/corsi/area-scientifica/scienze-matematiche-informatiche-multimediali-fisiche/laurea-magistrale/artificial-intelligence-cybersecurity
Artificial Intelligence and Automation Engineering,University of Siena,Public,Masters,2,EN,LM-32,Computer Engineering,https://artificial-intelligence-automation.unisi.it/
ARTIFICIAL INTELLIGENCE AND COMPUTER SCIENCE,University of Calabria,Public,Masters,2,EN,LM-18,Informatics,https://corsi.unical.it/lm/artificial-intelligence-and-computer-science/
ARTIFICIAL INTELLIGENCE AND DATA ENGINEERING,University of PISA,Public,Masters,2,EN,LM-32,Computer Engineering,https://computer.ing.unipi.it/aide-lm
Artificial Intelligence and Robotics,"University of Rome ""La Sapienza""",Public,Masters,2,EN,LM-32,Computer Engineering,https://corsidilaurea.uniroma1.it/it/course/33514
Artificial Intelligence Engineering,University of Modena and Reggio Emilia,Public,Masters,2,EN,LM-32,Computer Engineering,https://www.ingmo.unimore.it/it/didattica/corsi-di-laurea-magistrale-informazioni-generali/artificial-intelligence-engineering
ARTIFICIAL INTELLIGENCE FOR BIOMEDICINE AND HEALTHCARE,University of Turin,Public,Masters,2,EN,LM-91 R,Techniques and methods for the digital society,http://www.aibh.unito.it
ARTIFICIAL INTELLIGENCE FOR SCIENCE AND TECHNOLOGY,University of Milan-Bicocca,Public,Masters,2,EN,LM-91 R,Techniques and methods for the digital society,https://elearning.unimib.it/course/index.php?categoryid=9164
Artificial Intelligence Systems,University of Trento,Public,Masters,2,EN,LM-32,Computer Engineering,https://corsi.unitn.it/en/artificial-intelligence-systems
Astrophysics and cosmology,University of Padua,Public,Masters,2,EN,LM-17 R,Physics,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/scienze?tipo=LM&scuola=SC&ordinamento=2025&key=SC2996&cg=scienze
Astrophysics and cosmology,Alma Mater Studiorum - University of Bologna,Public,Masters,2,EN,LM-58 R,Science of the Universe,https://corsi.unibo.it/2cycle/Astrophysics
Astrophysics and Cosmology,"University of Rome ""La Sapienza""",Public,Masters,2,EN,LM-58 R,Science of the Universe,https://corsidilaurea.uniroma1.it/it/course/33607
ASTROPHYSICS AND SPACE PHYSICS,University of Milan-Bicocca,Public,Masters,2,EN,LM-58 R,Science of the Universe,https://www.fisica.unimib.it/it/didattica/corsi-studio#main-content
Astrophysics and Space Science,"University of Rome ""Tor Vergata""",Public,Masters,2,EN,LM-58 R,Science of the Universe,https://www.master-mass.eu/
Atmospheric Science and Technology for Meteorology and Climate,University of L'Aquila,Public,Masters,2,EN,LM-17 R,Physics,https://dsfc.univaq.it/it/degree-program.html
Health and Physical Activity,"University of Rome ""Foro Italico""",Public,Masters,2,EN,LM-67 R,Science and techniques of preventive and adapted motor activities,https://www.uniroma4.it/index.php/corsi/laurea-magistrale-in-attivita-fisica-e-salute-classe-lm67int/
Automation and Control Engineering,Polytechnic University of Milan,Public,Masters,2,EN,LM-25,Automation Engineering,https://www.ccsatm.polimi.it/?lang=en
Automation and Robotics Engineering,Polytechnic University of Bari,Public,Masters,2,EN,LM-25,Automation Engineering,https://poliba.coursecatalogue.cineca.it/corsi/2025/10264
Automation Engineering,Alma Mater Studiorum - University of Bologna,Public,Masters,2,EN,LM-25,Automation Engineering,http://corsi.unibo.it/2Cycle/AutomationEngineering
Automation Engineering and Control of Complex Systems,University of Catania,Public,Masters,2,EN,LM-25,Automation Engineering,http://www.dieei.unict.it/corsi/lm-25
Automotive Engineering,Polytechnic University of Turin,Public,Masters,2,EN,LM-33,Mechanical Engineering,https://www.polito.it/corsi/32-464
Autonomous Vehicle Engineering,University of Naples Federico II,Public,Masters,2,EN,LM-33,Mechanical Engineering,
Biochemistry,"University of Rome ""La Sapienza""",Public,Masters,2,EN,LM-9 R,"Medical, veterinary and pharmaceutical biotechnology",https://corsidilaurea.uniroma1.it/it/course/33459
"Biodiversity, Conservation and Environmental Quality",University of Siena,Public,Masters,2,EN,LM-6 R,Biology,https://bceq.unisi.it/en
Bioengineering,University of Genoa,Public,Masters,2,EN,LM-21 R,Biomedical Engineering,https://corsi.unige.it/en/corsi/11933
Bioengineering for Personalized Medicine,University of Trento,Public,Masters,2,EN,LM-21 R,Biomedical Engineering,https://corsi.unitn.it/it/bioengineering-personalized-medicine
Bioinformatics,Alma Mater Studiorum - University of Bologna,Public,Masters,2,EN,LM-6 R,Biology,http://corsi.unibo.it/2Cycle/Bioinformatics
Bioinformatics for Computational Genomics,University of Milan,Public,Masters,2,EN,LM-8 R,Industrial biotechnology,https://bcg.cdl.unimi.it/en
Quantitative and Computational Biology,University of Trento,Public,Masters,2,EN,LM-8 R,Industrial biotechnology,https://corsi.unitn.it/en/quantitative-and-computational-biology
Biology for Translational Research and Precision Medicine,University of Verona,Public,Masters,2,EN,LM-6 R,Biology,https://www.corsi.univr.it/?ent=cs&id=1337
BIOLOGY OF EXTREME ENVIRONMENTS,University of Naples Federico II,Public,Masters,2,EN,LM-6 R,Biology,https://www.dipartimentodibiologia.unina.it/corsi-di-laurea/biology-extreme-environments/
Ingegneria Biomedica,Polytechnic University of Marche,Public,Masters,2,EN,LM-21 R,Biomedical Engineering,https://www.ingegneria.univpm.it/offerta-formativa-2025
Biomedical Engineering,Alma Mater Studiorum - University of Bologna,Public,Masters,2,EN,LM-21 R,Biomedical Engineering,https://corsi.unibo.it/2cycle/BiomedicalEngineering/index.html
Biomedical Engineering,University of Rome Three,Public,Masters,2,EN,LM-21 R,Biomedical Engineering,https://ingegneriaindustrialeelettronicameccanica.uniroma3.it/didattica/collegio-elettronica/
Biomedical Omics,University of Milan,Public,Masters,2,EN,LM-9 R,"Medical, veterinary and pharmaceutical biotechnology",https://bo.cdl.unimi.it/en
Biomedical Sciences,Insubria University of Varese-Como,Public,Masters,2,EN,LM-6 R,Biology,http://www.uninsubria.it/magistrale-bms
BIONICS ENGINEERING,University of PISA,Public,Masters,2,EN,LM-21 R,Biomedical Engineering,http://www.bionicsengineering.it/
Biotechnological and Chemical Sciences in Diagnostics,University of Turin,Public,Masters,2,EN,LM-8 R,Industrial biotechnology,https://bcsd.campusnet.unito.it/
BIOTECHNOLOGIES AND APPLIED ARTIFICIAL INTELLIGENCE FOR HEALTH,University of PISA,Public,Masters,2,EN,LM-9 R,"Medical, veterinary and pharmaceutical biotechnology",https://www.biologia.unipi.it/home-wbh-lm.html
Biotechnologies of Human Reproduction,University of Siena,Public,Masters,2,EN,LM-9 R,"Medical, veterinary and pharmaceutical biotechnology",https://biotechnologies-humrep.unisi.it/en
Biotechnology for human and animal health,University of Sassari,Public,Masters,2,EN,LM-9 R,"Medical, veterinary and pharmaceutical biotechnology",https://veterinaria.uniss.it/it
Biotechnology for Industry and Health,"University of Rome ""Tor Vergata""",Public,Masters,2,EN,LM-8 R,Industrial biotechnology,https://www-2022.scienze.uniroma2.it/2022/11/01/the-master-of-science-in-biotechnology/
Biotechnology for Neuroscience,University of Turin,Public,Masters,2,EN,LM-9 R,"Medical, veterinary and pharmaceutical biotechnology",http://www.biotechnologyneuroscience.unito.it
Biotechnology for the Bio-based and Health Industry,Insubria University of Varese-Como,Public,Masters,2,EN,LM-8 R,Industrial biotechnology,http://www.uninsubria.it/magistrale-bbhi
Biotechnology for the bioeconomy,University of Milan,Public,Masters,2,EN,LM-7 R,Agricultural biotechnology,https://biotechnologybioeconomy.cdl.unimi.it/en
BUSINESS ADMINISTRATION,University of Turin,Public,Masters,2,EN,LM-77 R,Business and Economics,http://www.business-administration.unito.it
Business Administration and Sustainability,Alma Mater Studiorum - University of Bologna,Public,Masters,2,EN,LM-77 R,Business and Economics,https://corsi.unibo.it/2cycle/BusinessAdministration-Forli
Business Administration,"University of Rome ""Tor Vergata""",Public,Masters,2,EN,LM-77 R,Business and Economics,https://economia.uniroma2.it/master-science/ba
CELLULAR AND MOLECULAR BIOLOGY,University of Turin,Public,Masters,2,EN,LM-6 R,Biology,http://cmb.campusnet.unito.it/do/home.pl
Cellular and Molecular Biotechnology,University of Trento,Public,Masters,2,EN,LM-9 R,"Medical, veterinary and pharmaceutical biotechnology",https://corsi.unitn.it/it/biotecnologie-cellulari-e-molecolari
Chemical and Process Engineering,University of Padua,Public,Masters,2,EN,LM-22 R,Chemical Engineering,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/ingegneria?ordinamento=2025&key=IN2925&tipo=LM&scuola=IN
Chemical Engineering,Polytechnic University of Milan,Public,Masters,2,EN,LM-22 R,Chemical Engineering,http://www.ccs-chimica.polimi.it
Chemical engineering for industrial sustainability,University of Catania,Public,Masters,2,EN,LM-22 R,Chemical Engineering,http://www.dicar.unict.it/corsi/lm-22
